fileName		P	I	D		topUp		topDown		bottomUp	bottomDown		c1		c2		c3		c4		c5		c6
startup			10.0	0.0e-7	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
shutdown		10.0	0.0	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
2in			10.0	0.0	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
16in			10.0	0.0	0.0		1.0		0.75		1.0		0.25		1.487277324	2.000000000	2.000000000	0.5435181266	0.9361242951	0.674331626
pitch_01f_20a		10.0	2.0e-5	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
pitch_02f_40a		12.5	1.0e-5	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
yaw_20a_.10f		20.0	0.0	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
yaw_30a_.10f		20.0	0.0	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
yaw_30a_.15f		20.0	0.0	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
yaw_30a_.20f		20.0	0.0	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
pitch_05a_.10f		20.0	1.0e-7	0.0		1.0		0.75		1.0		0.25		1.487277324	2.000000000	2.000000000	0.5435181266	0.9361242951	0.674331626
pitch_05a_.20f		20.0	0.0e-5	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
pitch_05a_.25f		20.0	0.0e-5	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
pitch_10a_.10f		20.0	0.0e-5	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
pitch_10a_.15f		20.0	0.0e-5	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
pitch_10a_.20f		20.0	0.0e-5	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
pitch_10a_.25f		20.0	0.0e-5	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
pitch_15a_.10f		20.0	0.0e-5	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
pitch_15a_.15f2		20.0	0.0e-5	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
pitch_15a_.15f		20.0	0.0e-5	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
pitch_15a_.20f		20.0	0.0e-5	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
pitch_20a_.10f		20.0	0.0e-5	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
pitch_20a_.15f		20.0	0.0e-5	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
pitch_20a_.20f		20.0	0.0e-5	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
roll_05a_.10f		20.0	0.0e-7	0.0		1.0		0.75		1.0		0.25		1.467901523	0.202868818	1.200875708	0.6864593076	0.9660980178	0.830078826
